Wmi,Make
101,Mo Trailers Corp.
102,CAMELOT
109013,Odom's Manufacturers
109015,Mang
109016,Odom
109021,Williamson Ocean-Trailers
109022,On The Road
109024,Ottawa Brimont Corporation
109123,OK Trailer Mfg.
109125,Outdoor Aluminum
109127,Onan Corporation
109131,Overland R.V. Depot
109133,Oregon Woodchuck
109134,Omega Manufacturing Inc
109135,Mike Olsefski's Auto Accessories
109136,"Omega Southwest Mfg., Inc."
109137,"Ozark Sales and Service, Inc."
10B,Brenner Tank
10B,Wabash
10B,Brenner/Beall/Lafayette
10B,Brenner
10B,WABASH TANKS
10H,HUDSON BROTHERS
10R,E-Z-Go Division of Textron
10T,Oshkosh
10T,Pierce Manufacturing
10T,JLG
10T,McNeilus
10T,Jerr-Dan
10T,London
10T,Frontline
10T,Smit
10W,Owens Classic
10Z,Omni
112,Eager Beaver
119001,"1M Custom Car Transports, Inc."
11H,Hendrickson
11J,McCullugh Trailers
11L,Carolina Running Gear
11N,City Trailers
11P,Pleasant View Mfg
11R,Reid's Trailer
11U,TRAIL-ET
11U,Equibuilt LLC Trailer
11V,Kalmar Industries LLC
11W,W-W
11X,Lindig
11Y,SAM'S
11Z,"Badsey Bullet U.S.A, Inc."
123,Sherman + Reilly
127,IDEAL
129001,2-G Trailer Co LLC
12A,Avanti
12H,"Holden Industries, Inc"
12J,"REBUILDERS & SANDBLASTERS, INC"
12R,Terrell
12U,Mitchell Industries Inc
12Z,"Patent Products, Inc"
130,Lightline Products Inc
137,AM General
137,Hummer
138,Travalong
139002,33 East Maintenance Inc
139003,3M Dynamic Message Systems
13D,Dixie Craft Trailers Inc
13E,AMS
13K,D & P Welding
13N,Fontaine Trailer Co.
13S,Sundowner
13T,Carriage
13U,BesTrailers
13W,Wolverine
13X,J-10 Trailers
13Y,Starlite Trailers
13Z,PARK
141,KARI-KOOL
143,Zoe Motors
145,"Hyundai Steel Industries, Inc."
148,Transglobal Industries
149002,4 Star Fabrication
149004,4 X 4 Trailers Ltd
14D,Chilton Manufacturing Corp.
14J,Trinity Industries
14K,Interstate Manufacturing
14V,Western
14V,EZGO
14V,Western LIDO
14X,General Automotive Corporation
14Y,TM Marine Group
14Y,Star Custom
154,Paris
159001,Five Star Custom Trailer
15C,"MCT INDUSTRIES, INC."
15G,Gillig
15R,Bocats
15U,Trailboss Boat Trailers Inc
15V,Landmark
15X,KAUFMAN TRAILERS OF NC
166,McCullough
169002,"6 & 34 Trailers & Mfg, Inc."
16C,Clenet Coachworks
16D,Boss Equipment Trailer
16F,Carriage
16G,"Gooseneck Trailer Mfg.,Co, Inc"
16J,Belshe Industries
16M,MGS Incorparated
16R,Pyramid
16S,Carriage
16U,1ST CHOICE MANUFACTURING INC
16V,Big Tex
16W,West-Mark
171,"Hydra-Sports, Inc."
173,Long Neck Trailers
176,Custom Haul
177,Ford
179446,Oregon Trailer
17E,Valley Trailers
17J,Owosso
17N,John Deere
17X,Texas Bragg Enterprises
17Y,"Ameritrail, Inc."
184,Eagle Trailer Manufacturing
185,American Bos Corp
186,Karavan Trailer
188,Thomsen
18D,Six Wheel Wonder
18F,Catalina Marina
18G,Sheller-Globe Corporation
18L,LondonCoach Inc
18S,Sno-Bird
18X,"Western Recreational Vehicles, Inc."
18Y,"Rogue Industries, Inc."
197,Kross Kountry
198,First Products Inc
19B,B & M Manufacturing
19D,Skyline Corporation
19E,Skyline Corporation
19F,Royals
19L,Hy-Line Enterprises
19M,MASTERCRAFT BOAT COMPANY
19T,Royals
19U,Acura
19V,Acura
19X,Honda
19Z,Ultra Acquisition Corporation
1A0,Art Roll Tech
1A2,Chrysler
1A3,Chrysler
1A4,Chrysler
1A6,Chrysler
1A7,Chrysler
1A8,Chrysler
1A9005,Acro Trailer Company
1A9013,American Skier
1A9014,IDLE-TIME
1A9050,"Ainley Kennels & Fabrication, Inc."
1A9055,Anaheim Welding & Fabrication
1A9064,ASHFORD MFG
1A9082,ADMIRATION HOMES
1A9084,Anderson Truck Body & Equipment
1A9085,A. B. Chance Company
1A9087,Auto Truck
1A9090,Amfab
1A9097,Atlanta Fabricating & Equipment Co
1A9099,Atlas Mfg Co Inc
1A9100,Del-Val
1A9103,Automated Engineering Systems Inc
1A9105,Ashcan Fab. Co.
1A9110,Ace Custom Trailers
1A9114,A & R Custom Trailers
1A9117,ATK
1A9121,Baker
1A9122,AEROTEK
1A9123,A & H
1A9125,Art's Portable Welding
1A9127,Apex Manufacturing Co.
1A9130,A Bar K Trailers
1A9131,Asphalt Machinery
1A9132,Trailers by JEL
1A9133,"CUSTOM TRIKES, INC."
1A9134,Crosley Trailers
1A9142,"ALCAN TRAVELER, INC"
1A9143,Acv Inc
