Wmi,schema_id
SCF,2225
SCF,2227
SCF,2231
SCF,2237
SCF,2238
SCF,2240
SCF,2705
SCF,10496
SCF,10504
SCF,10505
SCF,10506
SCF,10507
SCF,10508
SCF,10892
SCF,10894
SCF,10905
SCF,12402
SCF,12804
SCF,12815
SCF,12821
SCF,12824
SCF,12843
SCF,13934
SCF,16996
SCF,20012
SCF,20841
SCF,21888
SCF,23455
SCF,24147
SCF,25456
SCF,26350
SCF,26765
SCF,27023
SCF,27389
SCF,27469
SCF,27499
SCF,27500
SCF,27501
SCF,27502
SCF,27503
SCF,27504
SCF,27505
SCF,27567
SCF,27875
SCF,28021
SCF,28062
SCF,28482
SAJ,2598
SAJ,2649
SAJ,2658
SAJ,2661
SAJ,2667
SAJ,2673
SAJ,2702
SAJ,2708
SAJ,2719
SAJ,2743
SAJ,2747
SAJ,2752
SAJ,2754
SAJ,2761
SAJ,2764
SAJ,2767
SAJ,2779
SAJ,2812
SAJ,2816
SAJ,2819
SAJ,2846
SAJ,2859
SAJ,2870
SAJ,2879
SAJ,2889
SAJ,2893
SAJ,2904
SAJ,6861
SAJ,6864
SAJ,6867
SAJ,9760
SAJ,10487
SAJ,10488
SAJ,10852
SAJ,10865
SAJ,12215
SAJ,12245
SAJ,12248
SAJ,12255
SAJ,12258
SAJ,12260
SAJ,12262
SAJ,12656
SAJ,12760
SAJ,12764
SAJ,12765
SAJ,12766
SAJ,12769
SAJ,12770
SAJ,12773
SAJ,12778
SAJ,12781
SAJ,13945
SAJ,15208
SAJ,16652
SAJ,16655
SAJ,18189
SAJ,19748
SAJ,20059
SAJ,20178
SAJ,20256
SAJ,20693
SAJ,20712
SAJ,20769
SAJ,21762
SAJ,22059
SAJ,23172
SAJ,23575
SAJ,23897
SAJ,24290
SAJ,24944
SAJ,25308
SAJ,26564
SAJ,26565
SAL,2593
SAL,2594
SAL,2595
SAL,2597
SAL,2599
SAL,2613
SAL,2625
SAL,2676
SAL,2680
SAL,2683
SAL,2687
SAL,2711
SAL,2714
SAL,2716
SAL,2717
SAL,2728
SAL,2729
SAL,2733
SAL,2741
SAL,2757
SAL,2758
SAL,2774
SAL,2794
SAL,2803
SAL,2806
SAL,2807
SAL,2808
SAL,2827
SAL,2831
SAL,2832
SAL,2834
SAL,2836
SAL,2880
SAL,2881
SAL,2882
SAL,2884
SAL,2885
SAL,3048
SAL,9746
SAL,9748
SAL,9749
SAL,9750
SAL,9753
SAL,9757
SAL,9759
SAL,9765
SAL,9767
SAL,9770
SAL,9771
SAL,10489
SAL,10490
SAL,10491
SAL,10492
SAL,10494
SAL,10849
